date,time,month,day_of_week,week_no,presenter,affiliation,departmental_contact,title,abstract,google_scholar_profile,link_to_paper,speakers_webpages,office_required_y_n_and_if_yes_for_what_days,office_booked_y_n,do_they_require_accommodation_y_n,no_nights,from_when,to_when,accom_booked,gender_m_f_pnts,any_special_requirement_for_presentation,another_else_we_should_know,masci_web_portal_updated,s_and_e_events_updated_events_se_ul_ie,date_fancy
2024-01-26,12pm,Jan,Friday,0,Marcos Prates,Universidade Federal de Minas Gerais,James Sweeney,Spatial Confounding Beyond Generalized Linear Mixed Models: Extension to Shared Components and Spatial Frailty Models,"Spatial confounding is defined as the confounding between the fixed and spatial random effects in generalized linear mixed models (GLMMs). It gained attention in the past years, as it may generate unexpected results in modeling. We introduce solutions to alleviate the spatial confounding beyond GLMMs for two families of statistical models. In the shared component models, multiple count responses are recorded at each spatial location, which may exhibit similar spatial patterns. Therefore, the spatial effect terms may be shared between the outcomes in addition to specific spatial patterns. Our proposal relies on the use of modified spatial structures for each shared component and specific effects. Spatial frailty models can incorporate spatially structured effects and it is common to observe more than one sample unit per area which means that the support of fixed and spatial effects differs. Thus, we introduce a projection-based approach for reducing the dimension of the data. An R package named ""RASCO: An R package to Alleviate Spatial Confounding"" is provided. Cases of lung and bronchus cancer in the state of California are investigated under both methodologies and the results prove the efficiency of the proposed methodology.",https://scholar.google.com.br/citations?user=Ujun714AAAAJ&hl=en,NA,NA,N,N,N,NA,NA,NA,NA,M,NA,NA,NA,NA,Friday the 26th of January 2024
2024-02-01,12pm,Feb,Thursday,1,Emmanuil H. Georgoulis,Heriot-Watt University,Natalia Kopteva,Hypocoercivity-preserving Galerkin discretisations of kinetic equations,"Numerous physical, chemical, biological, and social dynamic processes are characterised by convergence to long-time equilibria. These are often described as PDEs of kinetic type, whereby ``position'' and ``velocity'' are independent variables; well known examples of such are Kolmogorov and Fokker-Planck equations. These may also arise when modelling multi-agent interacting processes of particles, individuals, etc. In many important cases the diffusion/dissipation required to arrive to such equilibria is explicitly present in some of the spatial directions only, that is there exist evolution PDEs with degenerate diffusion yet converging to equilibrium states as time goes to infinity. This, somewhat counter-intuitive at first, state of affairs suggests that decay to equilibrium is due to finer hidden structure, which allows for the transport terms to also ""propagate dissipation"" to the spatial directions in which no dissipation appears explicitly in the PDE model. This property has been studied extensively by Villani who coined the term “hypocoercivity"" to describe it in his celebrated 2009 AMS Memoir. 

 

In the talk I will present recent results on how to design and analyse hypocoercivity-preserving Galerkin discretisations, in an effort to port the concept of hypocoercivity in the design and analysis of cutting-edge numerical methods. To that end I plan to start by presenting the first provably hypocoercivity-preserving Galerkin (non-conforming) finite element method for the model problem of Kolmogorov equation and discuss some very recent results on a different approach for the same equation. I plan to conclude with some first results of Galerkin methods for the inhomogeneous  Fokker-Plack equation on exponentially weighted function spaces. Some of the results are joint work with Zhaonan Dong (INRIA, Paris) and Philip Herbert (Sussex).",https://scholar.google.com/citations?user=SgSV1gIAAAAJ&hl=en,NA,NA,Y,Y,Y,NA,NA,NA,Y,M,NA,NA,NA,NA,Thursday the 1st of February 2024
2024-02-02,12pm,Feb,Friday,1,William Lee,University of Huddersfield,Kevin Moroney,Nonuniform flow in coffee extraction,"Coffee is a drink made by dissolving the soluble parts of ground, roast coffee beans in water. In espresso coffee this is done at high temperatures and pressures. It seems obvious that grinding coffee more finely will lead to more coffee being extracted. However, a recent experiment showed that, beyond a cutoff point grinding coffee more finely results in lower extraction. One possible explanation for this is that fine grinding promotes uneven extraction in the coffee bed. To explore this a low dimensional model in which there are two possible pathways for flow and coffee extraction is derived and analysed. This model shows that, below a critical grind size, there is decreasing extraction with decreasing grind size as is seen experimentally. In the model this is due to a complicated interplay between an initial imbalance in the porosities and permeabilities of the two pathways which is increased by flow and extraction, leading to the complete extraction of all soluble coffee from one pathway.",https://scholar.google.com/citations?user=fZNoYSMAAAAJ&hl=en,NA,NA,Y,Y,Y,NA,NA,NA,Y,M,NA,NA,NA,NA,Friday the 2nd of February 2024
2024-02-09,12pm,Feb,Friday,2,Cameron Hall,University of Bristol,Kevin Moroney,Opportunities and challenges in optimising power grid stability,"Decarbonising electricity generation is essential to any attempt to achieve net zero carbon dioxide emissions. However, the move to variable renewable energy sources such as wind turbines and solar photovoltaics creates new challenges for ensuring the stability of power grids. A major reason for this is that variable renewable energy sources often have very low inherent inertia. Inertia in this context is a measure of the tendency of the grid to maintain its frequency, even when imbalances between power supply and power demand create a push for the frequency to change. Since power grids can only be stable when power frequency is maintained within a very narrow range, the low inertia of variable renewable energy sources tends to destabilise the power grid, leading to possible grid failures.

One key tool for ensuring grid stability is mathematical modelling. Models of power grids can be used to estimate the inherent stability of the system, and models can be used to optimise the controllable features of generators to help ensure grid stability. Recent sophisticated optimisation methods have been proposed for finding optimal generator parameters for power grids. In this talk, I will describe some of these optimisation methods and explore some of their strengths and weaknesses. In particular, I will look at how robust the optimisation methods are when certain model parameters are not known exactly, or when multiple generators are combined in a model and treated as a single generator.",https://scholar.google.com/citations?user=MJVJ8pUAAAAJ&hl=en&oi=ao,NA,NA,Y,Y,Y,NA,8th feb,9th fed,Y,M,NA,NA,NA,NA,Friday the 9th of February 2024
2024-02-16,12pm,Feb,Friday,3,Srikanth Toppaladoddi,University of Leeds,Anthony Bonfils,"Brownian Motion, Polar Oceans, and the Statistical Physics of Climate","In this talk, I will show how tools from statistical physics can be used to study the Earth’s climate. The specific problem addressed is the geophysical-scale evolution of Arctic sea ice. Using an analogy with Brownian motion, the original evolution equation for the sea ice thickness distribution function, g(h), by Thorndike et al. (J. Geophys. Res. 80(33), 4501(1975)) is transformed to a Fokker-Planck-like equation. The steady solution for wintertime is g(h) = N(q, H) * h^q * exp(-h/H), where q and H are expressible in terms of moments over the transition probabilities between thickness categories. This solution exhibits the functional form used in observational fits and shows that for h << 1, g(h) is controlled by both thermodynamics and mechanics, whereas for h >> 1 only mechanics controls g(h). Furthermore, seasonality is introduced by using the Eisenman-Wettlaufer (Proc. Natl. Acad. Sci. USA 106, 28 (2009)) and Semtner (J. Phys. Oceanogr. 6, 379 (1976)) models for the thermal growth of sea ice. The time-dependent problem is studied by numerically integrating the Fokker-Planck equation. The results obtained from these numerical integrations and their comparison with submarine and satellite observations of ice thickness will also be discussed.",https://eps.leeds.ac.uk/maths/staff/10606/dr-srikanth-toppaladoddi,NA,NA,Y,NA,Y,2,15th,17th,Y,M,NA,NA,Y,Y,Friday the 16th of February 2024
2024-02-23,12pm,Feb,Friday,4,Maeve Upton,University of Limerick,James Sweeney,Bayesian generalised additive models for quantifying sea-level change.,"The 2021 Intergovernmental Panel on Climate Change report highlighted how rates of sea level rise are the fastest in at least the last 3,000 years. As a result, understanding historical sea level trends globally and locally is important to comprehend the dynamics and impacts of sea level change. The influence of different sea level drivers, for example thermal expansion, ocean dynamics and glacial – isostatic adjustment (GIA), has changed throughout time and space. Therefore, a useful statistical model requires both flexibility in time and space and have the capability to examine these separate drivers, whilst taking account of uncertainty.

 

In this talk, I will discuss the statistical models we developed to examine historic relative sea level changes, employing sea-level proxy and tide gauge data and the noisy input uncertainty method to account for uncertainty. Our approach uses Generalised Additive Models (GAMs) within a Bayesian framework which enables separate modelling of sea level components, smooth calculation of rates and the ability to incorporate external prior information guiding the evolution of sea level change over time and space. Our findings reveal that current sea levels along North America's Atlantic coast are the highest in at least the past 15 centuries. GAMs demonstrate the different drivers of relative sea level change, indicating that GIA dominated until the 20th century when a sharp rise in sea level change rates occurred.",NA,NA,NA,N,NA,N,NA,NA,NA,NA,F,NA,NA,NA,Y,Friday the 23rd of February 2024
2024-03-08,12pm,Mar,Friday,6,Ben Taylor,University College Cork,James Sweeney,Modelling and inference for Spatial Processes Under Aggregation and Change of Support,"The issues of aggregation and change of support are common in practical applications involving space-time data. They arise when the true process is continuous in space-time, but only data from different aggregation units, e.g. point-locations, or administrative regions, are available. The challenges posed by such data are often ignored, or substantially simplified in practice. In this talk, I will introduce two strands of research concerning the modelling of spatial/spatiotemporal data measured across multiple types of support, one concerning the modelling of spatiotemporal point process data on malaria in Zambia and a second concerning geostatistical modelling of land suitability in Wales.",NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,Friday the 8th of March 2024
2024-03-15,12pm,Mar,Friday,7,Michael Fop,University College Dublin,Shirin Moghaddam,Model-based clustering of networks with compositional edges,"Networks represent complex systems that capture interactions among entities, often resulting in the formation of communities. Additionally, networks frequently depict flows of quantities between nodes. For instance, in the Erasmus programme exchange network, interactions between European countries correspond to volumes of students being transferred among them. When modeling such networks, the exchanged volumes are influenced by the nodes' capacities to send and receive quantities, which can vary significantly across the network and may be associated with uninteresting aspects of the data. In the Erasmus programme network, for example, the volume of outgoing students from a country is limited by the size of its student population. Similarly, the volume of incoming students to a country is associated with the number of universities, which is also related to its student population. Clustering nodes in such networks by directly modeling these volumes often results in clustering solutions that merely reflect the capacities of sending and receiving nodes, masking interesting patterns associated with the relative strength of the connecting flows. We propose a model-based clustering approach that utilizes the relative strength of connections, leveraging concepts from compositional data analysis. We introduce a novel Dirichlet stochastic block model for clustering nodes in networks with compositional edge weights. The model relies on a mixture of Dirichlet distributions, whose parameters are determined by the cluster allocations of sender and receiver nodes, allowing for different propensities for retaining or transferring quantities over the network between the clusters. Consequently, nodes are clustered based on flows as parts of a whole, rather than raw volumes. Inference is implemented using a variation of the classification expectation-maximization algorithm, enabling efficient computations. The model is tested in a number of synthetic data experiments, showing good performance. Furthermore, we showcase the model on two datasets: the Erasmus programme exchange network among European countries and a bike-sharing network for the city of London.",https://scholar.google.com/citations?user=yVUdTdUAAAAJ&hl=en,NA,NA,Y,NA,Y,2,14,16,Y,M,Travel cot for a baby in hotel room,NA,NA,NA,Friday the 15th of March 2024
2024-03-28,12pm,Mar,Thursday,9,Graham Benham,University College Dublin,Doireann O'Kiely,Wave-driven propulsion,"Wave-driven propulsion occurs when a floating body, driven into oscillations at the fluid interface, is propelled by the waves generated by its own motion. Wave-driven propulsion has been observed in the case of the waves generated by a honeybee trapped on the surface of water, in the case of “SurferBot”, a centimeter-scale interfacial robot that was inspired by the stricken honeybee, and at much larger scales, in the case of the waves generated by jumping up and down on a canoe, also known as “gunwale bobbing”.

In this seminar I will present a new theory for wave-driven propulsion based on coupling the equations of motion of a floating raft to a quasi-potential flow model of the fluid. Using this model, expressions are derived for the drift speed and propulsive thrust of the raft which in turn are shown to be consistent with global momentum conservation. The validity of the model is explored by describing the motion of SurferBot, demonstrating close agreement with the experimentally determined drift speed and oscillatory dynamics. The efficiency of wave-driven propulsion is then computed as a function of driving oscillation frequency and the forcing location, revealing optimal values for both of these parameters which await confirmation in experiments.",https://scholar.google.co.uk/citations?user=xupsCdUAAAAJ&hl=en,NA,NA,NA,NA,Y,2,27th,28th,NA,M,NA,NA,NA,NA,Thursday the 28th of March 2024
2024-04-04,12pm,Apr,Thursday,10,Dan Giles,UCL Centre for Artificial Intelligence,James Gleeson,Embedding sub-grid variability into hybrid climate simulations to improve convective modelling,"Atmospheric General Circulation Models (AGCMs) play a vital role in our understanding of climate dynamics and how the climate is changing. However, carrying out climate projections using the latest AGCMs is a computationally expensive task due to long integration timescales and the need to explore the impact of different forcing pathways. As a result, climate simulations are typically carried out using spatial resolutions on the order of 100km. This coarse spatial resolution leads to biases associated with cloud formation, convection, precipitation and interactions between the water cycle and the large-scale dynamics.

 

This work aims to tackle these biases associated with convective scale processes by embedding a multi-output Gaussian Process (MOGP), trained to predict high resolution variability of temperature and specific humidity fields, within the AGCM. A proof-of-concept study will be presented where a trained MOGP model is coupled in-situ with a simplified AGCM. The temperature and specific humidity profiles of the AGCM model outputs are perturbed at fixed time intervals according to the predicted high resolution informed variability. Modelling improvements in the precipitation, outgoing longwave and shortwave radiation patterns are observed in a 10-year simulation run and the physical justifications for these changes will be explored. This work showcases a promising approach towards improving the overall representation of sub-grid cell processes in coarse resolution atmospheric simulations.",NA,NA,NA,Y,Y,Y,2,3rd,5th,NA,M,NA,NA,NA,NA,Thursday the 4th of April 2024
