date,time,month,day_of_week,week_no,presenter,affiliation,departmental_contact,title,abstract,google_scholar_profile,link_to_paper,speakers_webpages,office_required_y_n_and_if_yes_for_what_days,office_booked_y_n,do_they_require_accommodation_y_n,no_nights,from_when,to_when,accom_booked,gender_m_f_pnts,any_special_requirement_for_presentation,anything_else_we_should_know,masci_web_portal_updated,s_and_e_events_updated_events_se_ul_ie,date_fancy
2025-09-11,11am,Sep,Thursday,1,Hlib Husarov & Eberhard Mayerhofer,"Mary Immaculate Secondary School, Lisdoonvarna & University of Limerick",Eberhard Mayerhofer,An algorithm for the product-sum equality,"We propose a recursive algorithm for identifying all finite sequences of positive integers whose product equals their sum. Our method uses solutions of strictly shorter length that are iteratively extended in pursuit of a valid solution. The algorithm is efficient, with a time complexity similar to the quick sort algorithm. Arxiv: https://arxiv.org/abs/2508.09647",https://scholar.google.com/citations?user=N-A7h6EAAAAJ&hl=en,https://arxiv.org/abs/2508.09647,NA,N,N,N,0,NA,NA,NA,M,NA,NA,NA,NA,Thursday the 11th of September 2025
2025-09-17,3pm,Sep,Wednesday,2,Márton Karsai,Central European University,Padraig McCarron,Behaviour-driven epidemic phenomena in heterogeneous populations and networks,"While realistic approaches have become increasingly important in epidemic modelling, behavioural factors and individual differences have historically been overlooked due to the lack of high-resolution data and appropriate mathematical methods. This gap became particularly evident during the recent pandemic, highlighting the need for large-scale data collection on individual-level epidemic-related behaviours across representative populations. These advancements have revealed several new and interesting spreading phenomena that challenge our previous understandings. In this talk, we will focus on a few examples of such new insights, derived from data-driven and behaviour-informed epidemic models. We will explore the effects of seeding strategies and input-output inequalities in spreading dynamics, and the paradoxical effects of awareness-driven adaptive behaviour on epidemic outcomes. These findings highlight the importance of data-driven models incorporating behavioural factors, offering a more accurate understanding and modelling of real-world epidemic scenarios.",https://scholar.google.com/citations?user=Pl9cdEYAAAAJ&hl=en,https://doi.org/10.1038/s41467-024-48332-y ; https://doi.org/10.1126/sciadv.adk4606 ; https://doi.org/10.1103/PhysRevResearch.7.L012061,NA,Y,Y,Y,2,16th,17th,Y,M,NA,NA,NA,NA,Wednesday the 17th of September 2025
2025-09-26,3pm,Sep,Friday,3,Nico Gray,University of Manchester,Andrew Fowler,Coupling rheology and segregation in granular flows,"During the last fifteen years there has been a paradigm shift in the continuum modelling of granular materials; most notably with the development of rheological models, such as the  μ(I)-rheology (where μ is the friction and I is the inertial number), but also with significant advances in theories for particle segregation. This paper details theoretical and numerical frameworks (based on OpenFOAM) which unify these currently disconnected endeavours. Coupling the segregation with the flow, and vice versa, is not only vital for a complete theory of granular materials, but is also beneficial for developing numerical methods to handle evolving free surfaces. This general approach is based on the partially regularized incompressible-rheology, which is coupled to the gravity-driven segregation theory of Gray & Ancey (J. Fluid Mech., vol. 678, 2011, pp. 353-588). These advection-diffusion-segregation equations describe the evolving concentrations of the constituents, which then couple back to the variable viscosity in the incompressible Navier-Stokes equations. A novel feature of this approach is that any number of differently sized phases may be included, which may have disparate frictional properties. Further inclusion of an excess air phase, which segregates away from the granular material, then allows the complex evolution of the free surface to be captured simultaneously. Three primary coupling mechanisms are identified: (i) advection of the particle concentrations by the bulk velocity, (ii) feedback of the particle-size and/or frictional properties on the bulk flow field and (iii) influence of the shear rate, pressure, gravity, particle size and particle-size ratio on the locally evolving segregation and diffusion rates. The numerical method is extensively tested in one-way coupled computations, before the fully coupled model is compared with the discrete element method simulations of Tripathi & Khakhar (Phys. Fluids, vol. 23, 2011, 113302) and used to compute the petal-like segregation pattern that spontaneously develops in a square and triangular rotating drums.

Particle-size segregation patterns in a partially filled triangular rotating drum.
E.S.F. Maguire, T. Barker, M. Rauter, C.G. Johnson & J.M.N.T. Gray (2024) J. Fluid Mech 979, A40.   (movie 1) (movie 2) (movie 3) (movie 4) (movie 5) (movie 6) (movie 7) (movie 8) (movie 9) (movie 10) (movie 11) (movie 12) (movie 13) (movie 14) (movie 15) (movie 16) (movie 17) (movie 18) (movie 19)

Coupling rheology and segregation in granular flows
T. Barker, M. Rauter, E. S. F. Maguire, C. G. Johnson & J. M. N. T. Gray (2021) J. Fluid Mech. 909, A22.   (movie 1) (movie 2) (movie 3) (movie 4) (movie 5) (movie 6)

An experimental scaling law for particle-size segregation in dense granular flows
T. Trewhela, C. Ancey & J. M. N. T. Gray (2021) J. Fluid Mech. 916, A55.   (movie 1) (movie 2)

Particle Segregation in Dense Granular Flows
J. M. N. T. Gray (2018) Ann. Rev. Fluid Mech. 50, 407--433.   (movies)

Partial regularisation of the incompressible μ(I)-rheology for granular flow
T. Barker & J. M. N. T. Gray (2017) J. Fluid Mech. 828, 5--32.   (movies)",NA,NA,NA,N,NA,N,0,NA,NA,NA,M,NA,NA,NA,NA,Friday the 26th of September 2025
2025-10-09,11am,Oct,Thursday,5,Lisa McFetridge,Queen's University Belfast,Shirin Moghaddam,Advances in Robust Mixed Effects Modelling,"Over the past few decades, rapid technological innovation has revolutionised data collection, in particular in medicine where wearable devices are now regularly used to continuously track individual health metrics. This explosion of longitudinal data presents both opportunities and challenges for statistical modelling.

Mixed effects models have become a cornerstone for analysing repeated measurements over time. Yet, their widespread use rests on a critical assumption – that random effects and error terms follow a normal distribution. Previous research has shown that when longitudinal outliers are present, these assumptions can lead to biased estimates and imprecise variance components, undermining the reliability of clinical insights. 

To address this, robust modelling techniques have emerged that replace normality assumptions with t-distributed random terms. These models adaptively estimate degrees of freedom from the data itself, automatically reverting to normality when appropriate, providing flexibility without loss of precision or increase in bias. The utility of such models has been demonstrated across diverse applications, from predicting ICU patient risk, to cardiac monitoring and anomaly detection in elite athletes. Crucially, individuals flagged as longitudinal outliers often exhibit significantly poorer survival or risk profiles, underscoring the clinical importance of identifying and modelling such cases accurately.

In this talk, we’ll explore cutting-edge advancements in robust mixed effects modelling, showcasing their potential in health monitoring and precision medicine.",https://scholar.google.com/citations?user=j2CypRIAAAAJ&hl=en,NA,NA,Y,Y,Y,2,NA,NA,Y,F,NA,NA,NA,NA,Thursday the 9th of October 2025
2025-10-16,3pm,Oct,Thursday,6,Dingjia Cao,University of Limerick,James Sweeney,A wavelet lifting approach for spatial/network data,"As an emerging research area, analysing functions that arise from network (graph) structures attracts researchers in both statistics and signal processing communities. Data collected over graphs can be modelled as noisy observations of an unknown function over the vertices of a graph structure, fully described by its vertices and their connections, the edges.

While current literature is rich when data are collected from the graph vertex space, the data collected from graph edges call for new techniques, and in its turn reaches across many application fields, from traffic networks to neuroscience and hydrology. Wavelets can be powerful tools for understanding the behaviour of the underlying (edge) functions due to their computational efficiency and robust performance in the presence of discontinuities.

In this talk, we will begin by tracing the ‘evolution’ of wavelet methods, from classical wavelets to second-generation wavelets (constructed via the lifting scheme), and then to a variant that allows us to handle a broader class of data (such as spatial data). We will then move on to construct some new wavelet bases that can represent and perform nonparametric regression for functions defined on both the vertex and edge sets of graphs.",https://scholar.google.com/citations?user=paf72YcAAAAJ&hl=en,NA,NA,N,NA,N,0,NA,NA,NA,M,NA,NA,NA,NA,Thursday the 16th of October 2025
2025-10-23,11am,Oct,Thursday,7,Theresa Smith,University of Bath,James Sweeney,Multi-output gaussian process models for pollution in river networks,"The impact of human activity on the quality of surface waters, particularly rivers, has recently received considerable attention. Statistical models aimed at characterizing the spatiotemporal distribution of biological and chemical indicators across river networks must address several unique challenges not typically encountered in standard spatial modelling. In this seminar, I will present a class of spatiotemporal models designed for multivariate data sampled on river networks. These models build upon the framework introduced by Ver Hoef et al. (2006), which replaces traditional Euclidean distances with stream distance metrics to better represent spatial relationships in river systems. We extend this approach to incorporate temporal dynamics and multivariate dependencies, while also addressing practical aspects of water quality monitoring such as censoring limits and intermittent sampling. Finally, I will introduce a variational inference framework for fitting these models efficiently and share results from simulation experiments comparing our proposed approach with more conventional Gaussian Process models.",https://scholar.google.com/citations?user=pglQgmQAAAAJ&hl=en,NA,NA,Y,NA,Y,NA,NA,NA,NA,F,NA,NA,NA,NA,Thursday the 23rd of October 2025
2025-11-06,11am,Nov,Thursday,9,Yanghong Huang,University of Manchester,Mehakpreet Singh,"Finite Difference Methods for fractional Laplacian of radial functions 
","Numerical evaluation of nonlocal operators like the fractional Laplacian is more computationally intensive because of the dependence on the underlying function over the whole space. On the other hand, many solutions to the fractional counterparts of classical semi-linear PDEs, especially ground states obtained via variational methods, are radial. In this talk, fractional Laplacian of radial functions in general dimensions will be considered with a kernel represented by a Gauss hypergeometric function of the radial variables.  The singular part of the kernel is isolated and then treated with effective methods well studied in the one-dimensional context, while the regular part can be evaluated with by classical quadrature. The method can be extended to general non-radial functions that can be expanded using spherical harmonics, making it effective in the numerical study of fractional equations and complementing existing theoretical investigations.",https://scholar.google.com/citations?user=cbz4D-gAAAAJ&hl=en,NA,NA,NA,NA,Y,2,4th Nov,6th Nov,NA,M,NA,NA,NA,NA,Thursday the 6th of November 2025
2025-11-13,11am,Nov,Thursday,10,Lea Kaufmann,RWTH Aachen University,Kevin Burke,Factor Selection and Levels Fusion in High-Dimensional Logistic Regression,"In the last decades, high-dimensional problems in a regression-type context including a large number of explanatory variables arise in a huge variety of application fields. Specifically considering categorical explanatory variables, i.e., factors, the dummy-coding scheme introduces one (dummy) variable for each factor level, thus the dimension of the parameter space grows rapidly, even for a moderate number of factors. To simultaneously obtain the estimates of the regression coefficients and reducing the dimension of the parameter space, penalized regression is known to be a suitable tool. In this talk, I will discuss the characteristics that a penalization technique needs to fulfil to be suitable for the application to factors, as it is not only important to select those having an influence on the response variable (factor selection), but also to fuse those levels of a factor having a similar influence (levels fusion). A new penalization technique, called L0-Fused Group Lasso (L0-FGL), is introduced, tailored for the needs of factors. The quality of this new method is underlined by its theoretical properties, e.g.,  root-n-consistency and asymptotic normality, as well as by its performance in simulation studies.",NA,https://projecteuclid.org/journals/electronic-journal-of-statistics/volume-18/issue-2/Simultaneous-factors-selection-and-fusion-of-their-levels-in-penalized/10.1214/24-EJS2296.full,https://www.mathematik.rwth-aachen.de/go/id/bkbg/gguid/0xB6609343D23C3E4C960D1261B2A0493E/ikz/11/allou/1/lidx/1/?mobile=1,Y,NA,Y,5,NA,NA,Y,F,NA,NA,NA,NA,Thursday the 13th of November 2025
2025-11-20,11am,Nov,Thursday,11,Alison O'Connor,University of Limerick,David O'Sullivan,Hip Fractures Trends in Older Adults in Ireland,"European healthcare systems are under pressure from rapidly ageing populations, with hip fractures representing one of the most costly and impactful injuries among older adults (1,2). Ireland faces the dual challenge of both a rapidly growing ageing population and one of the highest European rates in hip fracture incidence (3,4). Irish standards require admission to orthopaedic care within four hours, yet national audits show this target is rarely achieved (5). Improving hip fracture services requires not just clinical reform but also new ways of leveraging data.
In this talk, we show how publicly available datasets can be used to uncover correlations and trends in hip fracture demand. When combined with national audit records we show how population health interacts with environmental pressures. Our findings suggest that extreme weather is a strong national indicator of surges in hip fractures with some regions experiencing more pressure than others. This creates opportunities not only for predictive modelling and smarter resource allocation, but also for preventative strategies where timely information can be used to warn and protect at-risk groups.

References

1. Looi MK. The European healthcare workforce crisis: how bad is it? BMJ. 2024 Jan 19;384:q8. 

2. EUROSTAT. Ageing Europe - statistics on population developments. Eurostat; 2020. Report No.: 80393. 

3. CSO. Central Statistics Office (CSO). Central Statistics Office; 2022 [cited 2024 Sep 23]. Society Measuring Ireland’s Progress 2022 - Central Statistics Office. Available from: https://www.cso.ie/en/releasesandpublications/ep/p-mip/measuringirelandsprogress2022/society/

4. Walsh ME, Ferris H, Coughlan T, Hurson C, Ahern E, Sorensen J, et al. Trends in hip fracture care in the Republic of Ireland from 2013 to 2018: results from the Irish Hip Fracture Database. Osteoporos Int. 2021 Apr 1;32(4):727–36. 

5. Kelly P, Horan B, Murphy T, Ahern E, Brent L, Kelly F, et al. Irish Hip Fracture Database National Report 2022 [Internet]. National Office of Clinical Audit (NOCA); 2022 p. 1–88. Available from: https://d7g406zpx7bgk.cloudfront.net/38cf762d5b/irish_hip_fracture_database_national_report_2022_final.pdf",https://scholar.google.com/citations?user=dIpyVmAAAAAJ&hl=en&oi=ao,NA,NA,N,NA,N,0,NA,NA,NA,F,NA,NA,NA,NA,Thursday the 20th of November 2025
2025-11-25,12pm,Nov,Tuesday,12,Christos Xenophontos,University of Cyprus,Natalia Kopteva,Neural Networks for singular perturbations,"In this talk we will give an introduction to Neural Networks (NNs) and describe how they can be used for emulating the solution to singularly perturbed problems. In addition, we will present results on the expressivity rate bounds for solution sets of a model class of singularly perturbed, elliptic two-point boundary value problems, in Sobolev norms, on the bounded interval (-1,1). The expression rate bounds in Sobolev norms in terms of the NN size are robust, i.e. uniform with respect to the singular perturbation parameter for several classes of DNN architectures. In particular, ReLU NNs, tanh- and sigmoid-activated NNs. The latter activations can represent “exponential boundary layer solution features” explicitly, in the last hidden layer of the DNN, i.e. in a shallow subnetwork, and afford improved robust expression rate bounds in terms of the NN size.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday the 25th of November 2025
