date,time,month,day_of_week,week_no,presenter,affiliation,departmental_contact,title,abstract,google_scholar_profile,link_to_paper,speakers_webpages,office_required_y_n_and_if_yes_for_what_days,office_booked_y_n,do_they_require_accommodation_y_n,no_nights,from_when,to_when,accom_booked,gender_m_f_pnts,any_special_requirement_for_presentation,anything_else_we_should_know,masci_web_portal_updated,s_and_e_events_updated_events_se_ul_ie,date_fancy
2026-01-29,11am,Jan,Thursday,1,Eoin O’Brien,Maynooth University,Mehakpreet Singh,Modelling the evolution of a 3D microbubble in a Jeffrey fluid. ,"Bubbles often appear in non-Newtonian liquids from nature, engineering, to biomedical applications, such as ultrasonic cleaning, targeted drug delivery and non-destructive medical imaging. However, their study has been under researched compared to their Newtonian counterpart, where the introduction of differing geometries and pressure fields can lead to catastrophic and violent collapse, a phenomenon most widely associated with the destruction of all underwater turbines. In this talk, we introduce the underlying physical and numerical models for three-dimensional bubble mechanics and extend the axisymmetric modelling of Lind and Phillips (Lind and Phillips [2010a,b, 2013]) to investigate the effect of “relaxation time” in a Maxwell and Jeffrey fluid on the evolution of a bubble.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 29th of January 2026
2026-02-10,12am,Feb,Tuesday,3,Finn Box,University of Manchester,Doireann O'Kiely,Poking Plants,"Plants are natural feats of engineering and botany a playground of physical phenomena. In this talk, we'll take a walk on the wild side and encounter ripe fruit, a gigantic leaf and an explosive cucumber. I'll describe the bioballistics of seed dispersal, the structural economy of a vasculature network and the cloaking effect of a peel. In doing so, I hope to demonstrate that poking a plant is an effective way of testing its mechanical properties.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday the 10th of February 2026
2026-02-26,11am,Feb,Thursday,5,Philip Pearce,University College London,Doireann O'Kiely,Multi-scale modelling of pattern formation in cell populations,"I will talk about a few projects in which the behaviour of cells affects self-organisation and/or pattern formation on surfaces. First, I will show how cell-fluid interactions affect surface attachment of swimming bacteria in fluid flow. Then, I will show how cell-cell interactions generate emergent fluid-like material properties in cell aggregates, with implications for pattern formation during chemotactic migration.",NA,NA,NA,NA,e,Email sent to Castltroy park hotel on 13 NOv 2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 26th of February 2026
2026-03-12,11am,Mar,Thursday,7,Leah Keating,University of Vermont,James Gleeson,"Loops, not groups: Long cycles are responsible for discontinuous phase transitions in higher-order contagions","Discontinuous phase transitions are often observed in the outbreak sizes when we have dynamics on higher-order networks. Here, we consider higher-order networks to be networks with groups. In this talk, we consider complex-contagion dynamics on a network with groups of size two and three. We show that just having groups is insufficient to observe a discontinuous phase transition in the outbreak size, and that longer cycles are required to produce this behaviour. This brings us closer to fully understanding why we sometimes see discontinuous phase transitions in dynamics on higher-order networks where we do not in the dyadic versions of the models.",NA,https://arxiv.org/abs/2511.15688,https://www.leahkeating.ie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 12th of March 2026
2026-03-19,11am,Mar,Thursday,8,Catherine Higgins,University College Dublin,David O'Sullivan,Novel approaches for clustering gene expression profiles in temporal and spatial transcriptomics,"Functional clustering methods group curves without prior knowledge of the underlying clustering structure. A key challenge is class imbalance,where some clusters are significantly larger than others. This leads to smaller clusters being misclassified into larger clusters, resulting in a poor clustering accuracy. While class imbalance is well-studied in supervised classification, it has received limited attention in unsupervised settings.  To address this, we introduce functional iterative hierarchical clustering (funIHC), a novel method for clustering imbalanced one-dimensional functional data.  We demonstrate the effectiveness of funIHC against sixteen leading alternatives.  We extend this methodology to two-dimensional functional data with spatial transcriptomics IHC (stIHC), focusing on clustering spatially variable genes into modules that reflect shared spatial expression patterns. We demonstrate that stIHC outperforms existing clustering methods in spatial transcriptomics. Gene ontology enrichment analysis confirms that both funIHC and stIHC identify biologically coherent and distinct clusters, demonstrating their utility for meaningful clustering in both time and space.",https://scholar.google.com/citations?user=ikeLYIMAAAAJ&hl=en,https://link.springer.com/article/10.1007/s11634-024-00611-8 ; https://onlinelibrary.wiley.com/doi/10.1002/qub2.70011,https://www.linkedin.com/in/catherine-higgins-4b5hg/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 19th of March 2026
2026-03-26,11am,Mar,Thursday,9,Stuart Thomson,University of Bristol,Doireann O'Kiely,"Driven interfacial hydrodynamics, and some physics-informed machine learning",In this talk I will present a few topics of recent interest that centre around the theme of “driven interfacial hydrodynamics”: fluid mechanical systems in which droplets and particles are self-propelled through interaction with the environment. I will also present some very recent work on using differentiable physics (a branch of physics-informed machine learning) to determine constitutive relations for highly plasticised metals.,NA,NA,NA,NA,NA,Yes already booked,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 26th of March 2026
2026-04-02,11am,Apr,Thursday,10,Cornelius Fritz,Trinity College Dublin,David O'Sullivan,Scalable Durational Event Models: Application to Physical and Digital Interactions,"Durable interactions are ubiquitous in social network analysis and are increasingly observed with precise time stamps. Phone and video calls, for example, are events to which a specific duration can be assigned. We term data encoding interactions with the start and end times “durational event data”. Recent advances in data collection have enabled the observation of such data over extended periods of time and between large populations of actors. Methodologically, we propose the Durational Event Model, an extension of Relational Event Models that decouples the modeling of event incidence from event duration. Computationally, we derive a fast, memory-efficient, and exact block-coordinate ascent algorithm to facilitate large-scale inference. Theoretical complexity analysis and numerical simulations demonstrate computational superiority of this approach over state-of-the-art methods. We apply the model to physical and digital interactions among college students in Copenhagen.  Our empirical findings reveal that past interactions drive physical interactions, whereas digital interactions are influenced predominantly by friendship ties and prior dyadic contact. ",https://scholar.google.de/citations?user=0X7D4mwAAAAJ&hl=en,https://arxiv.org/abs/2504.00049,https://www.tcd.ie/scss/people/academic-staff/fritzc/ ; https://www.corneliusfritz.com/about/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 2nd of April 2026
2026-04-08,11am,Apr,Wednesday,11,Chris Howland,University College Dublin,Doireann O'Kiely,Convection and phase changes in environmental flows,"Many processes in the climate system can be related to the coupling of fluid convection and thermodynamic phase changes, from ice-ocean interactions in polar regions to the formation and evolution of clouds in the atmosphere. In this talk, I will discuss some recent work aimed at understanding the fundamental interactions between convection and phase changes in simple systems, with a focus on the effects of turbulence on ice melting. Firstly, motivated by the flows beside marine-terminating glaciers, I will describe work focused on understanding boundary layers in turbulent convection at vertical walls. I focus on the complexities introduced by a high Prandtl number (relevant to seawater) and the effect of an ambient flow, where a transition between buoyancy-driven and shear-driven boundary layers occurs. Secondly, I will outline a newly-developed immersed boundary technique for simulating melting objects in turbulent flows, which reveals the subtle effects that the free motion of melting ice objects can introduce.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday the 8th of April 2026
2026-04-09,12am,Apr,Thursday,11,Michel Destrade,University of Galway,Doireann O'Kiely,An introduction to the European Research Council grants,"This talk provides an insider’s overview of the European Research Council and its funding schemes, informed by a 12-month secondment at the ERC Executive Agency in Brussels in 2024-25. It explains how ERC proposals are evaluated in practice, with emphasis on what panels look for when assessing excellence, ambition, and feasibility. The presentation covers the different ERC grant types, the structure of proposals, the two-step evaluation process, common misconceptions, and recurring reasons why strong applications might fail. It also discusses how to frame a compelling frontier-research narrative and how to position oneself strategically for the ERC grants.",https://scholar.google.com/citations?user=EQAvBLgAAAAJ&hl=en,NA,https://maths.universityofgalway.ie/~destrade/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 9th of April 2026
2026-04-16,11am,Apr,Thursday,12,Carl Scarrott,University of Galway,Shirin Moghaddam,Bayes-ically Fair:  Bayesian Ranking of Olympic Medal Performances,"Evaluating a country's sporting success can provide insight into its decision-making and the infrastructure used to develop athletic talent. The Olympic Games serve as a global benchmark, yet conventional medal tables can be overly influenced by population size or highly variable, particularly for smaller nations where outcomes are more affected by stochastic fluctuations.

We propose a Bayesian ranking scheme to rank the performance of National Olympic Committees by inferring an underlying `long-run' medals-to-population rate. The approach applies shrinkage to stabilise estimates for small-population countries while leaving large-population countries comparatively unchanged. The Bayesian framework yields posterior distributions over both the inferred medals-per-capita performance and the induced ranks, providing a principled measure of uncertainty in each country's ranking position.",https://scholar.google.com/citations?user=kRgtZZcAAAAJ&hl=en,NA,https://research.universityofgalway.ie/en/persons/carl-scarrott/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 16th of April 2026
